City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Gobabis,0,NA,1547341077,24,-22.45,18.97,64.03,10.31
Vila Velha,20,BR,1547340815,100,-3.71,-38.6,81.9,6.33
Butaritari,56,KI,1547341078,100,3.07,172.79,83.47,8.79
Cape Town,20,ZA,1547337600,82,-33.93,18.42,64.4,9.17
Temple,90,US,1547340660,60,31.1,-97.34,48.2,10.29
Rikitea,68,PF,1547341079,100,-23.12,-134.97,79.15,12.44
Ushuaia,40,AR,1547337600,74,-54.81,-68.31,44.6,36.91
Walvis Bay,0,NA,1547337600,93,-22.95,14.51,60.8,1.12
Avarua,75,CK,1547337600,70,-21.21,-159.78,86.0,11.41
Ancud,75,CL,1547337600,66,-41.87,-73.83,51.8,6.93
Hope,1,CA,1547337600,70,49.38,-121.43,44.6,13.87
Chuy,92,UY,1547341083,92,-33.69,-53.46,68.89,12.59
Cidreira,88,BR,1547341083,93,-30.17,-50.22,74.47,14.38
Vaitape,92,PF,1547341084,100,-16.52,-151.75,82.03,24.85
Tiarei,90,PF,1547339400,74,-17.53,-149.33,84.2,14.99
Alofi,44,NU,1547337600,66,-19.06,-169.92,86.0,13.87
New Norfolk,0,AU,1547339400,32,-42.78,147.06,69.8,11.41
Busselton,8,AU,1547341085,100,-33.64,115.35,67.36,17.18
Hobart,0,AU,1547339400,32,-42.88,147.33,69.8,11.41
Yaan,12,NG,1547341086,67,7.38,8.57,71.1,2.71
Arraial do Cabo,0,BR,1547341086,88,-22.97,-42.02,77.22,16.4
Nanortalik,92,GL,1547341086,94,60.14,-45.24,29.38,24.23
Muros,0,ES,1547339400,86,42.77,-9.06,41.0,3.36
Belmonte,0,PT,1547341087,85,40.36,-7.35,30.19,6.51
Broken Hill,0,AU,1547337600,23,-31.97,141.45,82.4,14.99
Richards Bay,0,ZA,1547341088,96,-28.77,32.06,66.87,2.08
Klaksvik,92,FO,1547338800,100,62.23,-6.59,44.6,21.92
Khatanga,48,RU,1547341088,48,71.98,102.47,-29.26,10.25
Mar del Plata,20,AR,1547341089,33,-46.43,-67.52,66.42,7.9
Soe,76,EE,1547337000,100,57.91,26.05,26.6,8.05
Balikpapan,64,ID,1547341089,100,-1.24,116.86,77.62,1.97
Faanui,92,PF,1547341090,100,-16.48,-151.75,81.85,22.95
Carutapera,64,BR,1547341090,94,-1.2,-46.02,77.13,7.11
Lae,75,PG,1547337600,66,-6.72,146.98,84.2,5.82
Bethel,75,US,1547337360,77,60.79,-161.76,-5.98,18.34
Lebu,0,ET,1547341092,53,8.96,38.73,31.77,2.59
Yulara,0,AU,1547337600,9,-25.24,130.99,100.4,14.99
Laguna,5,MX,1547336400,27,27.52,-110.01,77.0,6.93
Puerto Ayora,40,EC,1547337600,61,-0.74,-90.35,82.4,16.11
Georgetown,40,GY,1547337600,88,6.8,-58.16,75.2,4.7
Vanavara,8,RU,1547341095,64,60.35,102.28,-22.24,4.72
Bara,8,NG,1547341096,40,10.41,10.6,65.02,5.39
Barrow,76,AR,1547341096,94,-38.31,-60.23,65.38,5.5
Temnikov,64,RU,1547341096,79,54.63,43.21,10.12,8.9
Castro,75,CL,1547337600,66,-42.48,-73.76,51.8,6.93
Kaitangata,92,NZ,1547341101,100,-46.28,169.85,55.17,5.99
Cervo,44,BR,1547341101,90,-22.19,-46.24,67.09,1.03
Kapatan,75,PH,1547337600,78,5.89,125.23,78.8,4.7
Sola,75,FI,1547338800,92,62.78,29.36,17.6,4.7
Kedrovyy,0,RU,1547339400,76,56.17,91.82,-11.21,6.22
Atuona,48,PF,1547341104,100,-9.8,-139.03,80.73,15.28
Canico,40,PT,1547337600,67,32.63,-16.85,62.6,11.41
Kavieng,48,PG,1547341104,100,-2.57,150.8,83.07,10.42
Hermanus,12,ZA,1547341105,81,-34.42,19.24,58.0,9.08
Abnub,0,EG,1547337600,70,27.27,31.15,46.4,5.82
Norman Wells,20,CA,1547337600,65,65.28,-126.83,-36.41,2.24
Pochutla,90,MX,1547336460,78,15.74,-96.47,84.2,5.77
Bambanglipuro,68,ID,1547341106,100,-7.95,110.28,75.1,3.98
Nagar Karnul,0,IN,1547341106,92,16.48,78.32,52.2,2.82
Chokurdakh,88,RU,1547341107,73,70.62,147.9,-24.13,8.34
Saskylakh,0,RU,1547341107,0,71.97,114.09,-55.49,4.61
Porbandar,0,IN,1547341108,93,21.64,69.61,63.67,12.93
Sumbe,68,AO,1547341108,100,-11.2,13.84,76.45,4.5
East London,92,ZA,1547341109,99,-33.02,27.91,73.08,15.17
Ilulissat,40,GL,1547337000,48,69.22,-51.1,-5.81,2.24
Tuatapere,32,NZ,1547341109,91,-46.13,167.69,58.36,10.8
Severo-Kurilsk,80,RU,1547341110,96,50.68,156.12,33.57,18.19
Klyuchevskiy,20,RU,1547341111,50,53.53,119.45,-18.73,2.3
Kruisfontein,0,ZA,1547341111,92,-34.0,24.73,61.42,6.11
Tasiilaq,36,GL,1547337000,72,65.61,-37.64,17.6,5.82
Wexford,90,US,1547340480,96,40.63,-80.06,26.96,4.7
Port Alfred,80,ZA,1547341113,94,-33.59,26.89,67.18,2.98
Calvinia,76,ZA,1547341113,94,-31.47,19.78,57.64,3.76
Safford,1,US,1547337060,37,32.83,-109.71,57.92,12.75
Freeport,75,BS,1547337600,73,26.54,-78.7,73.4,6.93
Mantua,40,IT,1547338800,92,45.16,10.79,32.0,2.24
Cherskiy,48,RU,1547341116,50,68.75,161.3,-16.93,2.08
Rawson,20,AR,1547341116,24,-43.3,-65.11,72.76,7.9
Saint-Philippe,1,CA,1547339700,86,45.36,-73.48,6.8,7.63
Shimoda,75,JP,1547337600,70,34.7,138.93,48.2,18.34
Guangshui,56,CN,1547341117,82,31.62,113.82,26.77,2.19
Fort-Shevchenko,88,KZ,1547341117,100,44.51,50.26,36.49,8.79
Hami,80,CN,1547341117,66,42.84,93.51,9.27,3.38
Vaini,0,IN,1547337600,77,15.34,74.49,60.8,3.71
Ban Nahin,12,LA,1547341118,95,18.24,104.21,64.3,2.19
Bilibino,20,RU,1547341118,41,68.06,166.44,-27.41,2.26
Panzhihua,0,CN,1547341118,72,26.59,101.72,32.8,1.7
Cayenne,0,GF,1547339400,83,4.94,-52.33,77.0,5.82
Iqaluit,5,CA,1547339100,67,63.75,-68.52,-23.81,25.28
Egvekinot,12,RU,1547341123,0,66.32,-179.17,-43.79,3.83
Mataura,88,NZ,1547341123,100,-46.19,168.86,55.08,3.6
Homer,90,US,1547338920,87,59.64,-151.54,24.98,3.36
Nikolskoye,20,RU,1547339400,92,59.7,30.79,17.6,8.95
Punta Arenas,75,CL,1547337600,61,-53.16,-70.91,48.2,28.86
Sao Sebastiao,48,BR,1547341124,84,-3.15,-58.36,78.79,4.72
Morondava,68,MG,1547341125,100,-20.3,44.28,77.08,4.21
Yeppoon,90,AU,1547339400,61,-23.13,150.74,82.4,12.75
Bud,92,NO,1547338800,100,62.91,6.91,41.0,5.82
Albany,75,US,1547340720,44,42.65,-73.75,19.04,5.82
Moron,8,VE,1547341126,82,10.49,-68.2,69.3,3.53
San Vicente,0,SV,1547337000,74,13.64,-88.78,78.8,3.36
Isla Vista,75,US,1547339700,76,34.41,-119.86,60.08,5.82
Bathsheba,20,BB,1547337600,69,13.22,-59.52,77.0,10.29
Sol-Iletsk,92,RU,1547341128,91,51.16,55.0,26.77,17.13
Muli,0,IN,1547341129,87,22.62,71.45,52.96,6.29
East Moline,90,US,1547339760,88,41.52,-90.44,32.0,17.22
Khategaon,0,IN,1547341129,80,22.6,76.91,46.8,2.75
Bluff,0,AU,1547341130,47,-23.58,149.07,84.64,10.42
Dubti,0,ET,1547341131,73,11.74,41.09,56.11,5.99
Carnarvon,0,ZA,1547341132,73,-30.97,22.13,55.93,7.85
Deputatskiy,48,RU,1547341132,51,69.3,139.9,-31.51,2.82
Makakilo City,1,US,1547337420,64,21.35,-158.09,80.96,10.29
Knysna,0,ZA,1547337600,82,-34.04,23.05,59.0,2.24
Zabol,0,IR,1547337600,42,31.03,61.49,26.6,5.55
San Jeronimo,80,PE,1547341134,89,-13.65,-73.37,47.52,1.97
Buala,24,SB,1547341134,84,-8.15,159.59,85.54,7.9
Newport,90,GB,1547338800,100,51.59,-3.0,51.8,16.11
Gostavatu,0,RO,1547337600,92,44.08,24.53,24.8,6.93
Atar,0,MR,1547341136,20,20.52,-13.05,53.82,6.89
Amapa,20,HN,1547337600,69,15.09,-87.97,77.0,8.05
Santa Isabel do Rio Negro,20,BR,1547340905,58,-0.41,-65.02,86.26,6.73
Talcahuano,0,CL,1547337600,82,-36.72,-73.12,60.8,10.29
Zhezkazgan,48,KZ,1547341137,80,47.8,67.71,5.98,8.9
Piskivka,90,UA,1547340300,92,50.7,29.59,30.2,8.95
Tilichiki,0,RU,1547341137,57,60.47,166.1,-11.93,2.98
Gladstone,75,AU,1547339400,58,-23.84,151.26,82.4,12.75
Lavrentiya,8,RU,1547341138,100,65.58,-170.99,-11.08,26.46
Jamestown,0,AU,1547340908,28,-33.21,138.6,79.92,12.88
Leningradskiy,20,RU,1547341139,100,69.38,178.42,-18.59,8.79
Berlevag,88,NO,1547341139,100,70.86,29.09,25.6,3.38
Port Elizabeth,90,US,1547337360,44,39.31,-74.98,33.08,3.49
Grindavik,75,IS,1547339400,100,63.84,-22.43,33.8,9.17
Katsuura,75,JP,1547339280,86,33.93,134.5,41.0,8.05
Necochea,36,AR,1547341144,76,-38.55,-58.74,70.65,2.19
Fortuna,0,ES,1547339400,55,38.18,-1.13,39.2,8.05
Blind River,1,CA,1547339760,82,46.19,-82.96,5.0,3.6
Qaanaaq,0,GL,1547341145,99,77.48,-69.36,-22.96,10.87
Dhone,0,IN,1547341145,91,15.4,77.87,59.4,6.78
Lichuan,68,CN,1547341145,92,30.3,108.94,28.8,2.53
Broome,92,GB,1547339160,87,52.47,1.45,51.8,16.11
Gat,0,SN,1547339400,73,14.69,-16.54,71.6,11.41
Kapaa,90,US,1547337360,62,22.08,-159.32,78.98,5.82
Comodoro Rivadavia,20,AR,1547337600,28,-45.87,-67.48,69.8,4.7
Baft,44,IR,1547341146,67,29.23,56.61,15.97,1.36
Airai,8,TL,1547341147,73,-8.93,125.41,78.75,0.96
Hirara,75,JP,1547337600,77,24.8,125.28,69.8,10.29
Burnie,8,AU,1547341147,94,-41.05,145.91,64.93,13.67
Saint-Pierre,75,FR,1547339400,100,48.95,4.24,46.4,13.87
Buraydah,40,SA,1547337600,62,26.33,43.97,59.0,9.17
Dongying,0,CN,1547341149,65,37.43,118.67,22.27,9.01
Port Hedland,0,AU,1547339400,59,-20.31,118.58,93.2,11.41
Codrington,40,AU,1547337600,54,-28.95,153.24,82.4,6.93
Torbay,90,CA,1547337600,74,47.66,-52.73,30.2,10.29
Tabou,0,CI,1547341152,100,4.42,-7.36,82.62,5.88
Hilo,40,US,1547337180,56,19.71,-155.08,80.06,12.75
Nuuk,75,GL,1547337000,79,64.17,-51.74,24.8,9.17
Daru,24,SL,1547341153,64,7.99,-10.85,78.07,5.99
Vengurla,0,IN,1547337600,94,15.86,73.64,69.8,4.7
Vista Hermosa,80,MX,1547341154,47,17.8,-97.76,65.07,2.48
Ormara,8,PK,1547341154,93,25.21,64.64,65.11,8.23
Apatlaco,20,MX,1547337000,31,18.78,-98.95,78.8,2.24
Verkhneyarkeyevo,92,RU,1547341155,96,55.45,54.3,33.88,11.36
Bogande,0,BF,1547341155,32,12.97,-0.14,63.67,5.73
College,1,US,1547337480,72,64.86,-147.8,-18.05,4.05
Yellowknife,20,CA,1547337600,83,62.45,-114.38,-9.41,9.17
Los Llanos de Aridane,0,ES,1547339400,59,28.66,-17.92,60.8,9.17
Dikson,80,RU,1547341156,99,73.51,80.55,-16.93,32.46
Rio Gallegos,75,AR,1547337600,57,-51.62,-69.22,51.8,28.86
Coihaique,75,CL,1547337600,50,-45.58,-72.07,53.6,8.05
Souillac,90,FR,1547339400,93,45.6,-0.6,48.2,6.93
Forio,0,IT,1547338800,69,40.73,13.86,35.6,3.36
Hithadhoo,8,MV,1547341157,100,-0.6,73.08,80.82,5.84
Mahebourg,40,MU,1547337600,78,-20.41,57.7,78.8,11.41
Kirkuk,92,IQ,1547341158,44,35.47,44.4,40.68,6.85
Mayo,90,CA,1547337600,76,63.59,-135.9,-9.41,2.53
Hanmer Springs,88,NZ,1547341159,49,-42.52,172.83,65.56,9.08
Saint-Joseph,0,FR,1547339400,74,43.56,6.97,46.4,4.7
Sao Filipe,32,CV,1547341163,99,14.9,-24.5,71.73,9.24
Puerto Colombia,40,CO,1547337600,83,10.99,-74.96,78.8,13.87
Gushikawa,75,JP,1547339400,60,26.35,127.87,68.0,16.11
Bayanday,76,RU,1547341164,81,53.07,105.52,-6.31,2.86
Hobyo,80,SO,1547341164,80,5.35,48.53,76.23,17.81
Augusta,1,US,1547340780,62,44.31,-69.78,15.08,6.93
Sitka,68,US,1547341165,86,37.17,-99.65,32.71,13.04
Cabo San Lucas,20,MX,1547336700,78,22.89,-109.91,73.4,3.36
Tutoia,64,BR,1547341165,100,-2.76,-42.27,72.9,3.04
Poum,0,MK,1547341165,64,41.28,20.71,1.03,1.07
Chapais,90,CA,1547338380,77,49.78,-74.86,-0.41,5.82
Strathpeffer,92,GB,1547338800,87,57.59,-4.54,50.0,23.04
Kati,0,ML,1547339400,15,12.75,-8.07,78.8,4.7
Poyarkovo,76,RU,1547341167,78,49.62,128.65,-3.79,3.31
Belyy Yar,0,RU,1547339400,76,53.6,91.39,-11.21,3.27
Finnsnes,80,NO,1547338800,92,69.23,17.98,26.6,10.29
Vila Franca do Campo,75,PT,1547337600,72,37.72,-25.43,60.8,13.87
Beni,32,CD,1547341168,85,0.49,29.47,62.37,3.31
Port-Cartier,90,CA,1547337600,57,50.03,-66.88,19.4,12.75
Ballina,92,IE,1547341168,96,54.11,-9.15,47.88,17.85
Grand Gaube,40,MU,1547337600,78,-20.01,57.66,78.8,11.41
Plettenberg Bay,0,ZA,1547341170,100,-34.05,23.37,64.75,5.84
Troitsko-Pechorsk,76,RU,1547341171,73,62.71,56.19,13.77,8.08
Fort Nelson,75,CA,1547337600,77,58.81,-122.69,-0.41,2.08
Chimbote,0,PE,1547341172,85,-9.08,-78.59,72.27,10.13
Tuktoyaktuk,20,CA,1547337600,74,69.44,-133.03,-27.41,9.17
Ziarat,0,PK,1547341172,57,30.38,67.73,3.37,3.27
Atherton,90,GB,1547338800,81,53.52,-2.49,50.0,18.34
Hollola,24,FI,1547341173,82,60.99,25.5,15.75,5.55
Carbonia,0,IT,1547340600,93,39.17,8.53,37.4,5.82
Vao,12,EE,1547341174,76,59.1,26.19,16.06,5.84
Takoradi,12,GH,1547341174,100,4.89,-1.75,82.57,7.34
Honiara,80,SB,1547341174,95,-9.43,159.96,78.93,2.86
Kibala,0,TD,1547337600,33,9.11,18.35,75.2,4.7
Portland,75,US,1547337360,56,45.52,-122.67,53.06,14.99
Cerro de Pasco,92,PE,1547341176,100,-10.67,-76.25,43.24,1.74
Juneau,90,US,1547337360,100,58.3,-134.42,35.06,2.3
Constitucion,20,MX,1547336640,25,23.99,-104.67,66.2,6.93
Presidente Medici,8,BR,1547341177,87,-11.18,-61.9,76.68,2.26
Negresti,90,RO,1547337600,58,46.83,27.46,28.4,2.24
Slavutych,92,UA,1547341178,90,51.52,30.76,27.0,10.65
Bredasdorp,0,ZA,1547337600,63,-34.53,20.04,66.2,8.05
Kavaratti,0,IN,1547341179,100,10.57,72.64,81.45,8.52
Moerai,92,PF,1547341171,100,-22.43,-151.33,75.64,24.85
Solnechnyy,12,RU,1547341183,65,50.72,136.64,-22.1,1.7
Provideniya,8,RU,1547341184,100,64.42,-173.23,-11.12,19.04
Poddorye,68,RU,1547341184,98,57.47,31.12,23.08,8.41
Taoudenni,0,ML,1547341184,31,22.68,-3.98,50.13,13.38
Storsteinnes,80,NO,1547338800,92,69.24,19.23,26.6,10.29
Berkak,92,NO,1547341185,76,62.83,10.01,23.67,2.48
Brigantine,90,US,1547337360,34,39.41,-74.36,33.08,3.36
Cockburn Town,88,TC,1547341186,100,21.46,-71.14,75.82,19.3
Arrifes,75,PT,1547337600,72,37.77,-25.7,60.8,13.87
Tigil,0,RU,1547341186,60,57.8,158.67,1.57,2.98
Terra Rica,12,BR,1547341186,78,-22.73,-52.62,78.7,2.75
Vagur,88,FO,1547341187,93,61.47,-6.81,47.92,36.53
Ferrol,0,ES,1547339400,76,43.48,-8.23,50.0,4.7
Saldanha,0,PT,1547341159,79,41.42,-6.55,21.37,3.27
Macia,44,MZ,1547341188,85,-25.03,33.09,76.81,9.31
Pevek,0,RU,1547341189,71,69.7,170.27,-23.54,2.98
Husavik,68,CA,1547341189,90,50.56,-96.99,18.13,9.53
Karpathos,32,GR,1547340600,71,35.51,27.21,55.4,23.04
Izumo,20,JP,1547337600,80,35.37,132.75,39.2,8.05
Khandyga,20,RU,1547341191,0,62.65,135.58,-43.43,2.59
Aksu,0,KZ,1547339400,83,52.04,76.93,-5.81,8.95
Tambacounda,0,SN,1547337600,33,13.77,-13.67,75.2,2.24
Erenhot,0,CN,1547341192,45,43.65,111.97,-9.19,3.71
Yelizovo,36,RU,1547339400,54,53.19,158.38,28.4,6.71
Dedza,92,MW,1547341192,98,-14.38,34.33,67.45,3.2
Takaka,64,NZ,1547341193,73,-40.86,172.81,68.44,9.91
Huarmey,0,PE,1547341164,63,-10.07,-78.15,71.86,4.54
Roald,92,NO,1547338800,86,62.58,6.12,41.0,13.87
Narsaq,88,GL,1547337000,86,60.91,-46.05,30.2,4.7
Sinnamary,20,GF,1547341194,95,5.38,-52.96,78.88,10.02
Bambous Virieux,40,MU,1547337600,78,-20.34,57.76,78.8,11.41
Manakara,76,MG,1547341194,100,-22.14,48.01,77.98,11.65
Malinovoye Ozero,0,RU,1547341195,32,51.68,79.77,-8.38,6.29
Axim,36,GH,1547341195,96,4.87,-2.24,84.15,9.57
Tome,75,JP,1547337600,69,38.69,141.2,33.8,5.82
Barranca,0,PE,1547341196,97,-10.75,-77.76,72.27,16.91
Trat,20,TH,1547337600,94,12.25,102.51,75.2,2.98
Neuquen,0,AR,1547337600,23,-38.95,-68.06,73.4,8.05
Praia da Vitoria,20,PT,1547337600,82,38.73,-27.07,60.8,22.62
Esperance,0,TT,1547337600,73,10.24,-61.45,77.0,6.55
Sabang,44,PH,1547341197,93,13.72,123.58,78.3,13.04
Denpasar,20,ID,1547339400,79,-8.65,115.22,84.2,3.36
Santa Luzia,0,BR,1547337600,57,-19.77,-43.85,77.0,6.93
Aventura,20,US,1547337360,66,25.96,-80.14,73.94,6.93
Bandar-e Lengeh,12,IR,1547337600,77,26.56,54.88,62.6,7.4
Tocopilla,0,CL,1547341204,84,-22.09,-70.2,65.74,5.39
Graaff-Reinet,0,ZA,1547341205,50,-32.25,24.53,64.12,7.23
Hasaki,20,JP,1547339400,65,35.73,140.83,44.6,12.75
San Juan del Sur,0,NI,1547341207,73,11.25,-85.87,79.78,18.92
Raudeberg,92,NO,1547338800,100,61.99,5.14,37.4,13.87
Batagay-Alyta,24,RU,1547341210,56,67.8,130.41,-33.76,4.88
Pacific Grove,75,US,1547339400,80,36.62,-121.92,60.98,6.93
Ribeira Grande,36,PT,1547341211,97,38.52,-28.7,62.14,21.83
Loandjili,40,CG,1547337600,100,-4.77,11.87,77.0,2.24
Livingstonia,56,MW,1547341299,100,-10.61,34.11,68.98,3.87
Opuwo,0,NA,1547341300,40,-18.06,13.84,58.99,4.5
Kananga,80,CD,1547341215,97,-5.9,22.41,68.67,3.83
Mayor Pablo Lagerenza,32,PY,1547341216,80,-19.93,-60.77,80.28,7.23
Beringovskiy,32,RU,1547341216,86,63.05,179.32,-5.81,24.85
Ambulu,56,ID,1547341217,100,-8.35,113.61,79.78,2.86
Abbeville,90,FR,1547339400,87,50.11,1.83,48.2,13.87
Balkhash,88,KZ,1547341219,95,46.84,74.98,12.78,7.29
Lumphat,24,KH,1547341220,68,13.5,106.97,72.22,4.5
Iwata,20,JP,1547337600,70,34.71,137.85,46.4,4.7
Kieta,12,PG,1547341307,97,-6.22,155.63,82.57,3.87
Tiksi,44,RU,1547341222,44,71.64,128.87,-27.64,5.61
Mombetsu,75,JP,1547337600,67,44.35,143.35,17.6,9.17
Sirsa,0,IN,1547341223,94,29.54,75.04,50.8,6.55
Upata,20,VE,1547341223,69,8.02,-62.41,75.82,7.85
Derzhavinsk,44,KZ,1547341224,78,51.1,66.31,10.62,13.27
Tomigusuku,75,JP,1547339400,60,26.18,127.67,68.0,16.11
Simpang,75,MY,1547337600,83,4.82,100.71,77.0,6.93
Mazatlan,5,MX,1547336400,42,23.22,-106.42,82.4,11.41
Kangaatsiaq,76,GL,1547341226,100,68.31,-53.46,5.4,6.55
Manyana,88,AU,1547341227,94,-35.26,150.51,71.32,11.92
Coquimbo,20,CL,1547337600,82,-29.95,-71.34,62.6,3.36
Poltavka,56,RU,1547341228,69,54.36,71.76,-1.31,9.08
Batavia,90,US,1547340840,70,43.0,-78.19,24.08,9.17
