City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Kamina,80,CD,1547341229,99,-8.74,25.0,66.1,2.48
Naze,12,NG,1547341229,72,5.43,7.07,73.66,8.75
Kimbe,64,PG,1547341229,100,-5.56,150.15,81.0,3.71
Champerico,40,MX,1547336820,61,16.38,-93.6,77.0,12.75
Gilbues,48,BR,1547341230,43,-9.83,-45.34,83.92,6.89
Katangli,0,RU,1547341230,100,51.71,143.23,5.58,14.61
Kloulklubed,90,PW,1547340600,88,7.04,134.26,78.8,12.75
Alice Springs,0,AU,1547339400,15,-23.7,133.88,100.4,16.11
Manzanillo,80,CU,1547341193,91,20.34,-77.12,81.58,12.44
Clyde River,1,CA,1547337600,73,70.47,-68.59,-32.81,4.7
Touros,75,BR,1547337600,78,-5.2,-35.46,80.6,6.93
Tongliao,20,CN,1547341232,72,43.61,122.27,8.86,9.91
Sulangan,24,PH,1547341236,99,11.14,123.72,79.96,17.18
Ipameri,12,BR,1547341236,76,-17.72,-48.16,74.07,4.54
Anadyr,0,RU,1547337600,75,64.73,177.51,-18.41,15.66
Saint-Leu,0,RE,1547339400,74,-21.15,55.28,80.6,5.82
Kushima,20,JP,1547337600,71,31.5,131.29,53.6,10.29
Abha,0,SA,1547337600,87,18.22,42.5,55.4,5.82
Phibun Mangsahan,0,TH,1547337600,94,15.24,105.23,71.6,3.36
Tsiroanomandidy,80,MG,1547341238,95,-18.77,46.05,63.45,2.82
Maymyo,40,MM,1547339400,87,22.03,96.47,55.4,4.54
Moyamba,8,SL,1547341239,66,8.16,-12.43,79.06,7.23
Ponta do Sol,32,BR,1547341239,84,-20.63,-46.0,71.05,2.86
Spearfish,1,US,1547339700,100,44.49,-103.86,30.2,1.59
Loralai,0,PK,1547341230,66,30.37,68.6,10.3,3.04
Tessalit,0,ML,1547341240,23,20.2,1.01,47.74,10.8
Vardo,90,US,1547339940,88,39.62,-77.74,30.2,4.72
Valdivia,0,CL,1547337600,77,-39.81,-73.25,62.6,6.93
Hofn,92,IS,1547341241,100,64.25,-15.21,36.76,14.94
San Pedro,80,AR,1547341242,60,-33.68,-59.66,80.14,9.57
Caernarfon,92,GB,1547338800,87,53.14,-4.27,50.0,20.8
Pisco,40,PE,1547337600,30,-13.71,-76.2,71.6,23.04
Upernavik,36,GL,1547341244,100,72.79,-56.15,-5.45,9.64
Ibipeba,8,BR,1547341330,57,-11.64,-42.01,77.13,11.25
San Quintin,0,PH,1547341245,79,17.54,120.52,67.09,2.86
Kyzyl-Mazhalyk,48,RU,1547341245,49,51.15,90.58,-5.72,3.27
Tazmalt,75,DZ,1547337600,87,36.39,4.4,46.4,9.17
Waingapu,0,ID,1547341246,94,-9.65,120.26,79.78,4.38
Navalmoral de la Mata,0,ES,1547341246,75,39.89,-5.54,23.85,2.98
Antigonish,90,CA,1547340000,72,45.62,-61.99,12.2,14.99
Mochalishche,40,RU,1547339400,85,56.33,48.35,10.4,13.42
Maniitsoq,24,GL,1547341248,100,65.42,-52.9,6.93,5.61
Quesnel,75,CA,1547337600,61,52.98,-122.49,35.6,3.31
Along,0,IN,1547341249,52,28.17,94.8,45.76,2.71
Chacabuco,20,AR,1547341249,49,-34.64,-60.47,77.58,6.29
Pangnirtung,12,CA,1547341250,54,66.15,-65.72,-31.64,4.72
Aswan,20,EG,1547341250,94,24.09,32.9,48.6,2.75
Kuytun,56,RU,1547341250,65,54.34,101.51,-0.86,8.12
Marsabit,0,KE,1547341250,41,2.34,37.99,66.6,7.9
Yarensk,88,RU,1547341251,75,62.17,49.09,16.24,8.08
Selma,1,US,1547340780,55,36.57,-119.61,62.06,4.7
Osmena,44,PH,1547341252,96,12.17,124.59,77.22,9.01
Longyearbyen,20,NO,1547337000,55,78.22,15.63,6.8,16.11
Tobermory,32,CA,1547341179,100,45.25,-81.67,18.18,12.77
Kampong Thum,24,KH,1547341253,63,12.71,104.89,76.27,8.3
Faya,0,SA,1547337600,87,18.39,42.45,55.4,5.82
Sorgun,80,TR,1547341253,72,39.81,35.19,18.94,2.82
Cabra,0,ES,1547339400,90,37.47,-4.43,32.0,2.37
Fethiye,75,TR,1547338800,87,36.62,29.12,48.2,6.93
Brae,92,GB,1547338800,93,60.4,-1.35,48.2,24.16
Jumla,92,NP,1547341257,100,29.28,82.18,19.57,1.86
Quzhou,56,CN,1547341258,99,28.97,118.86,40.45,3.83
Buin,0,CL,1547337600,60,-33.73,-70.74,68.0,5.82
Port Macquarie,0,AU,1547337600,45,-31.43,152.91,84.2,6.93
Kodino,80,RU,1547341259,89,63.72,39.64,23.22,6.29
Nancha,76,CN,1547341259,74,47.14,129.26,-0.32,2.26
Guasdualito,40,VE,1547337600,65,7.24,-70.73,82.4,3.36
Nhulunbuy,40,AU,1547339400,66,-12.18,136.78,87.8,11.41
Svetlogorsk,90,RU,1547339400,92,53.14,59.15,21.2,22.37
San Juan,0,AR,1547341216,34,-31.54,-68.53,77.08,4.5
Pavlovsk,56,RU,1547339400,84,53.31,82.99,1.4,4.47
Tyukhtet,8,RU,1547341263,62,56.54,89.31,-13.37,5.73
Naron,44,ES,1547339400,76,43.52,-8.15,50.0,4.7
Nyrob,56,RU,1547341264,86,60.74,56.73,13.18,10.8
Tatarsk,36,RU,1547341265,83,55.22,75.96,-1.67,11.54
Ekhabi,12,RU,1547341265,84,53.51,142.97,5.62,13.38
Igarka,56,RU,1547341266,46,67.47,86.57,-28.67,24.4
Harper,1,US,1547340660,65,30.3,-99.24,50.9,8.05
Victor Harbor,0,AU,1547339400,21,-35.55,138.62,78.8,16.11
Pervomayskoye,0,RU,1547341268,39,57.07,86.23,-25.16,3.83
Novyy Urgal,76,RU,1547341268,53,51.07,132.56,-18.95,2.08
Saint George,20,GR,1547337000,68,39.45,22.34,39.2,2.53
Alexandria,1,US,1547339700,58,31.31,-92.44,60.98,3.36
Caravelas,48,BR,1547341269,100,-17.73,-39.27,80.5,12.1
Lorengau,80,PG,1547341269,100,-2.02,147.27,81.49,14.45
Nacogdoches,90,US,1547340900,65,31.6,-94.66,48.92,13.87
Bjorkelangen,75,NO,1547338800,92,59.88,11.57,10.4,2.37
Dufftown,92,GB,1547338800,87,57.45,-3.13,53.6,23.04
Guerrero Negro,68,MX,1547341271,73,27.97,-114.04,63.18,4.5
Luderitz,24,NA,1547341156,91,-26.65,15.16,60.88,5.55
Samana,44,EC,1547341271,86,0.12,-76.97,75.6,2.82
Reconquista,56,AR,1547341272,89,-29.14,-59.64,76.0,8.01
Charlottesville,90,US,1547339700,100,38.03,-78.48,30.92,2.53
Javanrud,0,IR,1547337360,79,34.8,46.49,26.6,1.97
Usinsk,88,RU,1547341273,84,66.0,57.56,15.25,15.57
Talara,20,PE,1547341273,61,-4.58,-81.27,79.02,13.04
Mitsamiouli,64,KM,1547341274,95,-11.38,43.28,83.07,9.31
Chitral,32,PK,1547341274,77,35.85,71.79,-0.28,0.85
Banda Aceh,0,ID,1547341275,97,5.56,95.32,72.72,4.76
Taranagar,44,IN,1547341275,94,28.67,75.04,51.25,6.4
Margate,0,AU,1547339400,32,-43.03,147.26,69.8,11.41
Gigmoto,24,PH,1547341279,100,13.78,124.39,78.57,14.38
Ishigaki,75,JP,1547337600,82,24.34,124.16,68.0,14.99
Krasnoarmeysk,90,RU,1547339400,92,56.12,38.15,15.8,8.95
Kameshkovo,88,RU,1547341280,86,56.35,41.0,14.58,11.77
Mokhotlong,0,LS,1547341280,53,-29.29,29.06,44.41,2.86
Upington,0,ZA,1547337600,56,-28.46,21.24,71.6,4.7
Pitimbu,20,BR,1547337600,94,-7.47,-34.81,75.2,2.24
Perelyub,80,RU,1547341281,94,51.87,50.37,26.95,11.54
Miri,8,NG,1547341281,55,10.31,9.75,60.12,3.76
Yantzaza,80,EC,1547341282,91,-3.83,-78.76,66.46,1.97
Eenhana,0,NA,1547337600,22,-17.48,16.34,78.8,3.36
Erzin,0,TR,1547338800,57,36.95,36.2,48.2,13.87
Peniche,0,PT,1547337600,100,39.36,-9.38,48.2,2.24
Jinotega,12,NI,1547341284,72,13.09,-86.0,67.32,2.82
Dargaville,24,NZ,1547341284,51,-35.94,173.86,79.33,6.78
Kirakira,88,SB,1547341285,100,-10.46,161.92,80.32,8.3
Neiafu,75,TO,1547337600,70,-18.65,-173.98,84.2,9.17
Miyang,0,CN,1547341286,79,24.4,103.44,40.9,3.71
Vanimo,76,PG,1547341286,100,-2.67,141.3,80.82,11.77
Nova Olinda do Norte,8,BR,1547341287,76,-3.89,-59.1,80.32,5.5
Balsas,36,BR,1547341210,72,-7.53,-46.04,77.35,4.27
Humaita,20,AR,1547337600,88,-24.93,-65.37,69.8,5.82
Goderich,64,CA,1547341288,80,43.74,-81.71,19.62,10.13
Montepuez,92,MZ,1547341288,91,-13.13,39.0,73.98,10.31
Sur,8,OM,1547341288,100,22.57,59.53,69.88,6.33
Wewak,80,PG,1547341289,88,-3.55,143.63,79.33,2.75
Quatre Cocos,40,MU,1547337600,78,-20.21,57.76,78.8,11.41
Siocon,44,PH,1547341289,99,11.03,124.04,79.69,11.88
Thompson,75,CA,1547337600,85,55.74,-97.86,12.2,16.11
Kodiak,90,US,1547339700,95,39.95,-94.76,32.0,13.87
DAULTALA,76,PK,1547339400,86,33.19,73.14,41.0,4.05
Redmond,75,US,1547340780,63,47.67,-122.12,55.94,2.59
Fez,0,MA,1547339400,64,34.03,-5.02,37.4,6.93
Gibara,20,CU,1547337000,78,21.11,-76.13,75.2,10.29
Laramie,90,US,1547337480,88,41.31,-105.59,33.08,2.48
Digras,12,IN,1547341293,89,20.1,77.72,62.1,6.11
Vredendal,100,ZA,1547341189,99,-31.68,18.49,62.86,2.53
Apricena,0,IT,1547341293,100,41.78,15.44,49.45,8.52
Darnah,88,LY,1547341294,100,32.77,22.64,56.65,22.17
Fare,92,PF,1547341294,100,-16.7,-151.02,82.48,23.73
Bataipora,8,BR,1547341295,60,-22.3,-53.27,80.82,6.06
Montego Bay,40,JM,1547337600,69,18.47,-77.92,80.6,6.93
Nizhniy Kuranakh,0,RU,1547341295,61,58.84,125.49,-13.96,2.48
Divnogorsk,0,RU,1547339400,76,55.96,92.38,-11.21,4.99
Noumea,75,NC,1547339400,66,-22.28,166.46,86.0,17.22
Taft,44,PH,1547341300,94,11.9,125.42,79.15,12.93
Aasiaat,44,GL,1547341300,100,68.71,-52.87,7.6,10.25
Talakan,68,RU,1547341301,67,50.29,130.28,-9.46,2.75
Brusturi,88,RO,1547341301,98,46.34,22.64,22.0,1.3
Sosnovo-Ozerskoye,20,RU,1547341302,52,52.53,111.54,-20.26,2.53
Cotonou,20,BJ,1547337600,83,6.37,2.43,84.2,12.75
Sayyan,0,YE,1547341302,67,15.17,44.32,30.01,1.7
Yumen,8,CN,1547341303,43,40.29,97.04,-3.56,5.55
Athabasca,36,CA,1547341389,74,54.72,-113.29,12.55,3.04
Aquidauana,12,BR,1547341304,75,-20.47,-55.78,82.66,2.71
Sawtell,0,AU,1547339400,58,-30.38,153.1,82.4,14.99
Lompoc,75,US,1547339700,82,34.64,-120.46,60.08,5.82
Geraldton,5,CA,1547337600,63,49.72,-86.95,-5.81,2.48
Lahaina,75,US,1547337360,53,20.87,-156.68,82.04,11.41
Trincomalee,76,LK,1547341305,98,8.58,81.23,72.63,4.83
Sept-Iles,90,CA,1547337600,57,50.2,-66.38,19.4,12.75
Choix,0,MX,1547341306,55,26.71,-108.33,66.46,1.86
Villers-les-Nancy,90,FR,1547339400,87,48.67,6.15,44.6,6.93
Sorland,80,NO,1547341288,100,67.67,12.69,34.42,10.87
Cururupu,8,BR,1547341307,91,-1.82,-44.87,75.73,5.77
Komsomolskiy,68,RU,1547341308,82,67.55,63.78,5.13,16.58
Inverness,80,GB,1547338800,87,57.48,-4.23,50.0,23.04
Somova,24,RO,1547337600,85,45.19,28.66,24.8,5.82
Vestmannaeyjar,76,IS,1547341309,100,63.44,-20.27,38.7,13.38
Carlos Antonio Lopez,68,PY,1547341309,96,-26.4,-54.77,71.55,2.48
Valreas,0,FR,1547339400,65,44.38,4.99,44.6,23.04
Shahrud,0,IR,1547341310,68,36.42,54.97,15.3,2.82
Playas,36,EC,1547341311,83,-2.64,-80.39,77.4,7.07
Vostok,0,RU,1547341312,48,46.45,135.83,-9.05,2.26
Adrar,0,DZ,1547337600,44,27.87,-0.29,41.0,12.75
Ingolstadt,75,DE,1547340600,93,48.76,11.43,35.6,21.92
Huilong,92,CN,1547341313,95,28.89,110.18,33.79,2.53
Beshpagir,90,RU,1547339400,86,45.02,42.37,33.8,8.95
Hokitika,92,NZ,1547341314,92,-42.72,170.96,61.38,12.88
Rafai,12,CF,1547341314,81,4.95,23.92,68.26,2.59
Padang,20,ID,1547337600,94,-0.92,100.36,75.2,1.12
San Felipe,0,CL,1547341315,72,-32.75,-70.73,60.07,1.19
Yabelo,0,ET,1547341316,22,4.89,38.09,64.3,9.42
Castrillon,56,ES,1547339400,81,43.4,-6.79,46.4,4.7
Mount Gambier,0,AU,1547337600,49,-37.83,140.78,73.4,12.75
Mashhad,0,IR,1547339400,68,36.3,59.61,30.2,4.7
Great Falls,1,US,1547337480,28,47.5,-111.29,44.42,10.29
Canutama,68,BR,1547341317,80,-6.53,-64.38,79.06,2.75
Trairi,92,BR,1547341105,100,-3.28,-39.27,82.39,5.32
Matara,80,PE,1547341240,89,-13.74,-72.9,47.52,1.97
Cap Malheureux,40,MU,1547337600,78,-19.98,57.61,78.8,11.41
Amahai,8,ID,1547341297,100,-3.31,129.0,82.84,8.34
Arlit,0,NE,1547341321,50,18.74,7.39,52.78,4.09
Te Anau,36,NZ,1547341322,84,-45.41,167.72,55.3,5.28
North Port,90,US,1547339700,73,27.04,-82.24,71.96,4.83
Bastia,75,IT,1547340600,71,44.6,8.98,50.0,4.7
Nova Venecia,8,BR,1547341323,86,-18.71,-40.4,73.3,5.99
Daura,0,NG,1547341324,35,13.04,8.32,63.49,9.91
Bilma,0,NE,1547341324,27,18.69,12.92,56.29,14.34
Bubaque,8,GW,1547341325,100,11.28,-15.83,77.89,10.42
Namibe,0,AO,1547341250,100,-15.19,12.15,73.53,8.12
Araouane,0,ML,1547341325,27,18.9,-3.53,54.45,10.58
Butzow,75,DE,1547340600,87,52.49,12.6,42.8,14.99
Isangel,88,VU,1547341326,100,-19.55,169.27,78.43,4.5
Inta,76,RU,1547341327,76,66.04,60.13,14.4,4.54
Teahupoo,90,PF,1547339400,74,-17.83,-149.27,84.2,14.99
Nizwa,68,OM,1547341328,82,22.93,57.53,56.11,2.19
Yongan,0,CN,1547341328,66,39.7,113.69,-3.38,2.53
Taltal,0,CL,1547341329,73,-25.41,-70.49,61.78,3.04
Nyurba,44,RU,1547341329,63,63.29,118.35,-13.69,5.1
Murzzuschlag,68,AT,1547341329,79,47.6,15.68,33.03,4.72
Norrtalje,0,SE,1547338800,85,59.76,18.7,24.8,3.36
Terre Haute,90,US,1547339880,96,39.47,-87.41,33.98,10.29
Chimoio,8,MZ,1547341330,92,-19.11,33.48,74.38,2.59
Tezu,0,IN,1547341331,54,27.93,96.16,48.46,1.97
Xianyang,20,CN,1547337600,92,34.31,108.72,17.6,3.09
Nouadhibou,0,MR,1547337600,51,20.93,-17.03,62.6,12.75
Glenwood Springs,1,US,1547337360,74,39.55,-107.33,30.02,2.08
Rabaul,20,PG,1547341332,100,-4.2,152.17,83.25,3.6
Pemba,75,MZ,1547337600,100,-12.97,40.52,77.0,6.93
Tautira,90,PF,1547339400,74,-17.73,-149.15,84.2,14.99
Tungor,12,RU,1547341333,84,53.39,142.95,5.62,13.38
Tefe,12,BR,1547341214,71,-3.35,-64.71,82.12,5.32
Tarakan,40,ID,1547337600,88,3.3,117.63,78.8,3.36
Susurluk,75,TR,1547337000,93,39.91,28.16,41.0,8.05
Zhigansk,32,RU,1547341335,60,66.77,123.37,-20.3,9.24
Jalu,0,LY,1547341335,49,29.03,21.55,48.55,16.8
Bonavista,64,CA,1547341335,100,48.65,-53.11,26.82,11.32
Santiago del Estero,36,AR,1547341200,67,-27.8,-64.26,78.93,6.22
Oktyabrskiy,90,RU,1547339400,92,55.61,37.97,15.8,6.71
Jalalpur Pirwala,20,PK,1547341249,86,29.5,71.22,52.02,3.49
Yanam,20,IN,1547339400,94,16.73,82.22,68.0,8.08
Huangchuan,0,CN,1547337600,93,24.57,102.46,41.0,13.42
Virginia Beach,90,US,1547339700,85,36.85,-75.98,41.0,3.36
Mareeba,75,AU,1547339400,69,-16.99,145.42,82.4,19.46
La Palma,80,CO,1547341341,67,5.36,-74.39,73.39,2.19
Inuvik,20,CA,1547337600,66,68.36,-133.71,-25.61,3.36
Beira,0,ES,1547339400,76,43.2,-8.36,50.0,4.7
Saint-Augustin,90,FR,1547339400,93,44.83,-0.61,48.2,10.29
Gornopravdinsk,92,RU,1547341344,75,60.06,69.92,7.87,11.32
Hambantota,40,LK,1547338200,100,6.12,81.12,75.2,8.05
Huntington,90,US,1547339760,100,38.42,-82.45,33.98,4.5
Lachi,0,PK,1547341345,81,33.38,71.34,28.84,2.53
Ust-Kuyga,48,RU,1547341301,61,70.0,135.55,-33.94,2.75
Laredo,1,US,1547340960,47,27.51,-99.51,69.8,9.17
Senador Guiomard,75,BR,1547337600,88,-10.15,-67.74,75.2,2.24
Okhotsk,0,RU,1547341346,100,59.36,143.24,-7.84,9.35
Alyangula,80,AU,1547337600,62,-13.85,136.42,89.6,8.05
Pervomayskiy,88,RU,1547341347,84,53.24,40.29,12.1,12.1
Westport,92,IE,1547341302,96,53.8,-9.52,48.33,18.81
Ahipara,44,NZ,1547341348,67,-35.17,173.16,74.83,8.86
Birjand,0,IR,1547337600,41,32.86,59.22,24.8,4.7
Kahului,40,US,1547337360,56,20.89,-156.47,82.04,13.87
Mehamn,88,NO,1547341350,88,71.03,27.85,31.5,12.59
Kalulushi,92,ZM,1547341350,100,-12.84,28.09,63.94,4.76
Lata,92,IN,1547341351,100,30.78,78.62,31.99,1.52
Dankov,88,RU,1547341352,85,53.25,39.16,13.45,11.32
Palestina,75,EC,1547337600,78,-1.63,-79.98,80.6,3.36
Impfondo,8,CD,1547341353,99,1.62,18.06,73.17,3.38
Aberdeen,90,US,1547337720,91,45.47,-98.49,21.02,3.2
Tomatlan,0,MX,1547341354,65,19.93,-105.25,78.79,2.75
Dingle,48,PH,1547341355,82,11.0,122.67,77.58,13.33
Umuarama,8,BR,1547341355,67,-23.76,-53.31,80.23,5.28
Kaka,8,TM,1547341356,66,37.35,59.62,24.12,5.55
Vrcin,75,RS,1547339400,92,44.66,20.59,32.0,5.82
Sri Aman,75,MY,1547337600,100,1.24,111.46,77.0,2.24
Kem,0,UG,1547341357,37,2.68,33.77,64.08,7.63
Hualmay,0,PE,1547341154,73,-11.1,-77.61,71.82,6.55
Yeniseysk,32,RU,1547341358,73,58.45,92.17,-10.76,4.5
Aklavik,5,CA,1547337600,67,68.22,-135.01,-25.61,4.7
Dwarka,40,IN,1547339400,87,28.58,77.04,55.4,5.82
Mount Isa,0,AU,1547339400,23,-20.73,139.49,96.8,17.22
Hamilton,75,BM,1547337300,63,32.3,-64.78,62.6,6.93
Lastoursville,88,GA,1547341360,98,-0.81,12.73,71.28,2.37
Meulaboh,56,ID,1547341360,100,4.14,96.13,77.08,6.55
Ullapool,92,GB,1547341364,98,57.9,-5.16,48.19,28.36
Papara,44,BR,1547341364,88,-3.98,-38.73,74.92,2.48
West Bay,44,GB,1547337000,81,50.71,-2.76,51.8,23.04
Coruripe,92,BR,1547341365,100,-10.12,-36.18,77.44,11.1
Boyolangu,36,ID,1547341365,98,-8.09,111.9,73.93,3.71
Belz,90,UA,1547339400,86,50.38,24.01,28.4,6.71
Lipki,80,RU,1547341366,86,53.94,37.7,14.53,10.92
Ariquemes,48,BR,1547341366,89,-9.91,-63.03,77.08,2.08
Sechura,0,PE,1547341367,68,-5.56,-80.82,77.58,15.46
Bismarck,90,US,1547340720,88,46.81,-100.78,17.96,9.17
Frutal,20,BR,1547341368,89,-20.02,-48.93,73.98,2.59
Aykhal,32,RU,1547341138,45,65.95,111.51,-29.53,3.09
Tura,0,IN,1547341241,81,25.52,90.21,50.8,5.73
Teya,5,MX,1547336820,50,21.05,-89.07,77.0,6.93
Krivosheino,8,RU,1547341371,65,57.34,83.93,-21.83,9.42
Dunedin,92,NZ,1547341371,97,-45.87,170.5,54.58,4.88
Urengoy,92,RU,1547341371,64,65.96,78.37,-8.06,20.04
Surman,24,LY,1547341192,100,32.76,12.57,57.15,25.41
Cairns,75,AU,1547339400,69,-16.92,145.77,82.4,19.46
Dover,75,US,1547337360,47,39.16,-75.52,33.98,4.83
Samoded,68,RU,1547341373,88,63.61,40.52,25.38,5.77
Mettur,20,IN,1547341373,92,11.8,77.8,53.82,4.27
Djambala,0,CG,1547341374,96,-2.55,14.76,68.26,6.4
Karwar,0,IN,1547341374,75,14.8,74.13,62.95,1.97
Ayni,0,TJ,1547341374,62,39.39,68.54,12.6,3.76
Artyom,0,RU,1547339400,66,43.36,132.19,10.4,2.24
Oistins,20,BB,1547337600,69,13.07,-59.53,77.0,10.29
Saint-Louis,90,CH,1547339400,86,47.59,7.56,41.0,17.22
